ADLOADINGTIME	ACCOUNTID	CAMPAIGNID	CREATIVEID	PLACEMENTID	TIMESTAMP	PLATFORM	PLATFORMVERSION	EXTERNALADSERVER	EXTERNALCREATIVEID	EXTERNALPLACEMENTID	EXTERNALSITEID	EXTERNALSUPPLIERID	INTENDEDDEVICETYPE	ACTUALDEVICETYPE	SDK	HOSTWINDOWHEIGHT	HOSTWINDOWWIDTH	TOPMOSTREACHABLEWINDOWHEIGHT	TOPMOSTREACHABLEWINDOWWIDTH	DEVICEORIENTATION	NETWORKTYPE	CDNNAME	CREATIVETYPE	GEOIP_LNG	GEOIP_LAT	GEOIP_TIMEZONE	GEOIP_COUNTRY	GEOIP_REGION	GEOIP_CITY	GEOIP_AREACODE	GEOIP_METROCODE	GEOIP_DMACODE	UA_HARDWARETYPE	UA_DEVICETYPE	UA_MOBILEDEVICE	UA_PLATFORM	UA_PLATFORMVERSION	UA_VENDOR	UA_MODEL	UA_OS	UA_OSVERSION	UA_BROWSER	UA_BROWSERVERSION	UA_BROWSERRENDERINGENGINE	FILESJSON	ERRORSJSON
2.286	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	d6eb615b33b61678fbca4bd3fb9377d1	1459512770	Android	5.1.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	567	360	567	360	0	null	b	Interstitial	38.89689	47.2362	Europe/Volgograd	Russian Federation	Rostov	Taganrog	null	null	null	Mobile Phone	Phone	1	Android	5.1.1	Sony	C6603	Android	5.1.1	Chrome Mobile	44.0.2403.117	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
2.967	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	d6eb615b33b61678fbca4bd3fb9377d1	1459508602	Android	4.2.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	508	320	508	320	0	null	b	Interstitial	75.6167	63.1667	Asia/Novosibirsk	Russian Federation	Yamal-Nenets	Noyabrsk	null	null	null	Mobile Phone	Phone	1	Android	4.2.2	Lenovo	A369i	Android	4.2.2	Android Browser	4.0	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
2.645	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	d6eb615b33b61678fbca4bd3fb9377d1	1459515554	Android	4.2.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	null	6650fadcc0264109f8bd976558377652	720	1280	720	1280	90	null	a	Interstitial	36.28329	56.6333	Europe/Moscow	Russian Federation	Tver'	Redkino	null	null	null	null	null	1	Android	4.2.2	CSL	null	Android	4.2.2	Android Browser	4.0	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
0.76	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7b76845786cdb6773e1d0024e9213391	1459512604	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	c	Interstitial	12.18209	55.45799	Europe/Copenhagen	Denmark	Sjelland	Køge	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.616	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7b76845786cdb6773e1d0024e9213391	1459513778	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	736	414	736	414	0	null	a	Interstitial	10.1987	56.1663	Europe/Copenhagen	Denmark	Midtjylland	Aarhus	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
5.477	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459512271	IOS	9.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	a	Interstitial	14.4667	56.06669	Europe/Stockholm	Sweden	Skane Lan	Bromölla	null	null	null	Mobile Phone	Phone	1	IOS	9.1	Apple	iPhone	IOS	9.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	["0eb9621cf2b9bb13d433e6cc68747889"]
11.27	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459512688	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	1	1	1	1	0	null	a	Interstitial	18.0686	59.3294	Europe/Stockholm	Sweden	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.168	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459512895	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	c	Interstitial	13.5	59.3667	Europe/Stockholm	Sweden	Varmlands Lan	Karlstad	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
0.947	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459513057	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	a	Interstitial	17.9667	59.3	Europe/Stockholm	Sweden	Stockholms Lan	Hägersten	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.083	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459513815	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	c	Interstitial	18.0686	59.3294	Europe/Stockholm	Sweden	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
190.387	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	36793d8fe98b79d0e6bd1ecee0865e4a	1459515197	IOS	9.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Tablet	6650fadcc0264109f8bd976558377652	768	1024	768	1024	90	null	b	Interstitial	16.5	59.3667	Europe/Stockholm	Sweden	Sodermanlands Lan	Eskilstuna	null	null	null	Tablet	Tablet	1	IOS	9.2	Apple	iPad	IOS	9.2	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
74.648	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459512563	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	b	Interstitial	3.7167	51.05	Europe/Brussels	Belgium	Oost-Vlaanderen	Gent	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
6.978	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459513155	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	c	Interstitial	4.85	51.14999	Europe/Brussels	Belgium	Antwerpen	Olen	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	["0eb9621cf2b9bb13d433e6cc68747889"]
152.852	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459513654	IOS	9.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	736	414	736	414	0	null	c	Interstitial	4.35	50.85	Europe/Brussels	Belgium	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2	Apple	iPhone	IOS	9.2	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	["0eb9621cf2b9bb13d433e6cc68747889"]
0.777	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459513619	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	c	Interstitial	4.35279	50.8466	Europe/Brussels	Belgium	Brussels Hoofdstedelijk Gewest	Brussels	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.51	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459514111	IOS	8.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	c	Interstitial	4.25	51.2167	Europe/Brussels	Belgium	Oost-Vlaanderen	Melsele	null	null	null	Mobile Phone	Phone	1	IOS	8.1	Apple	iPhone	IOS	8.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
2.199	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	04a34aa00b34c0a400427aad3bdaa38a	1459515538	IOS	9.3.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	b	Interstitial	4.35279	50.8466	Europe/Brussels	Belgium	Brussels Hoofdstedelijk Gewest	Brussels	null	null	null	Mobile Phone	Phone	1	IOS	9.3.1	Apple	iPhone	IOS	9.3.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
16.155	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	0419120aefb0e0a14cac21a7b05666e1	1459514718	IOS	7.1.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	480	320	480	320	0	null	b	Interstitial	24.86099	60.2229	Europe/Helsinki	Finland	Southern Finland	Helsinki	null	null	null	Mobile Phone	Phone	1	IOS	7.1.2	Apple	iPhone	IOS	7.1.2	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.993	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459512634	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	568	320	568	320	0	null	a	Interstitial	-0.3774	39.4698	Europe/Madrid	Spain	Comunidad Valenciana	Valencia	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.484	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459513319	IOS	9.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	b	Interstitial	2.15899	41.38879	Europe/Madrid	Spain	Catalonia	Barcelona	null	null	null	Mobile Phone	Phone	1	IOS	9.1	Apple	iPhone	IOS	9.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.825	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459514271	Android	5.0.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	592	360	592	360	0	null	a	Interstitial	-1.64321	42.81689	Europe/Madrid	Spain	Navarra	Pamplona	null	null	null	Mobile Phone	Phone	1	Android	5.0.2	Motorola	XT1068	Android	5.0.2	Chrome Mobile	48.0.2564.106	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
9.081	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459514448	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	06532a89f3328b6be3d933985297cd77	null	Phone	Phone	6650fadcc0264109f8bd976558377652	528	300	528	300	0	null	a	Interstitial	-2.0253	43.2166	Europe/Madrid	Spain	Pais Vasco	Andoain	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.915	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459514468	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	a	Interstitial	-3.68331	40.39999	null	Spain	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
2.713	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459514610	IOS	9.2.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	c	Interstitial	-3.68331	40.39999	null	Spain	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
1.297	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459514664	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	c	Interstitial	-3.68331	40.39999	null	Spain	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
0.903	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	a5756b4875e7c994ec5b2a301c12e766	7e44ca19e19fd7995312204a8985ec45	1459515512	IOS	9.3	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	667	375	667	375	0	null	b	Interstitial	-3.70261	40.4165	Europe/Madrid	Spain	Madrid	Madrid	null	null	null	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":37726},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":6117}]	[]
299.022	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	4da0da5ef7d443a3beb33373019f1068	8a2538d8486f43186ea4dd78023582d0	1459498090	Android	5.1.1	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	250	300	250	300	0	null	c	Banner	37.6156	55.75219	Europe/Moscow	Russian Federation	Moscow City	Moscow	null	null	null	Mobile Phone	Phone	1	Android	5.1.1	Samsung	SM-G531H	Android	5.1.1	Chrome Mobile	48.0.2564.106	WebKit	[{"type":"image","size":2648},{"type":"image","size":6117},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":58462}]	[]
2.517	707cd8f4c88718677e1b9eeecd01160d	ef070bfa66a86845986ebbb82770ecb3	4da0da5ef7d443a3beb33373019f1068	8a2538d8486f43186ea4dd78023582d0	1459512488	Android	4.4.2	598f379729bb422dda38111dcbb00ba5	null	null	375bc670eef7620bda2f75a9086b1561	null	Phone	Phone	6650fadcc0264109f8bd976558377652	0	0	0	0	0	null	c	Banner	37.6156	55.75219	Europe/Moscow	Russian Federation	Moscow City	Moscow	null	null	null	Mobile Phone	Phone	1	Android	4.4.2	Samsung	GT-I9301I	Android	4.4.2	Chrome Mobile	30.0.0.0	WebKit	[{"type":"image","size":2648},{"type":"image","size":6117},{"type":"image","size":9114},{"type":"image","size":3969},{"type":"image","size":58462}]	["0eb9621cf2b9bb13d433e6cc68747889"]
